t_ms,s
5�50,960

41819,959

41869,959

41919,959

41969,959

42019,959

42070,958

42120,959

42170,958

42220,959

42270,959

42320,959

42370,958

42420,959

42470,959

42520,959

42570,959

42620,958

42670,959

42720,959

42770,959

42820,959

42870,959

42920,959

42970,959

43020,959

43070,959

43120,959

43170,959

43220,959

43270,958

43320,959

43370,959

43420,959

43470,959

43520,959

43570,959

43620,959

43670,959

43720,959

43770,959

43820,959

43870,959

43920,959

43970,959

44020,959

44070,959

44120,959

44170,959

44220,959

44270,959

44320,959

44370,959

44420,959

44470,959

44520,959

44570,959

44620,959

44670,959

44720,959

44770,959

44820,959

44870,958

44920,959

44971,959

45021,959

45071,958

45121,959

45171,959

45221,959

45271,959

45321,958

45371,958

45421,959

45471,958

45521,959

45571,959

45621,959

45671,958

45721,958

45771,958

45821,959

45871,959

45921,958

45971,958

46021,958

46071,959

46121,958

46171,959

46221,958

46271,958

46321,959

46371,959

46422,959

46472,959

46522,959

46572,959

46622,959

46672,960

46722,959

46772,960

46822,961

46872,961

46922,962

46972,963

47022,963

47072,963

47122,963

47172,963

47222,963

47272,963

47322,964

47372,964

47422,964

47472,964

47522,964

47572,964

47622,963

47672,963

47722,963

47772,963

47822,963

47872,963

47922,963

47972,963

48022,962

48072,962

48122,962

48172,962

48222,962

48272,961

48322,961

48372,961

48422,961

48472,961

48522,961

48572,960

48622,960

48672,959

48722,959

48772,959

48822,959

48872,959

48922,959

48972,959

49022,959

49072,959

49122,959

49172,959

49222,959

49272,959

49323,959

49373,959

49423,959

49473,959

49523,959

49573,959

49623,959

49673,959

49723,959

49773,959

49823,959

49873,959

49923,959

49973,959

50023,959

50073,959

50123,959

50173,959

50223,959

50273,959

50323,959

50373,959

50423,959

50473,959

50523,959

50573,959

50623,959

50673,959

50723,959

50774,959

50824,959

50874,959

50924,959

50974,959

51024,959

51074,959

51124,959

51174,959

51224,959

51274,959

51324,959

51374,960

51424,959

51474,959

51524,959

51574,959

51624,959

51674,959

51724,959

51774,959

51824,959

51874,959

51924,959

51974,959

52024,959

52074,959

52124,959

52174,959

52224,959

52274,959

52324,959

52374,959

52424,959

52474,959

52524,959

52574,959

52624,959

52674,959

52724,959

52774,959

52824,959

52874,959

52924,959

52974,959

53024,959

53074,959

53124,959

53174,959

53224,959

53274,959

53324,959

53374,959

53424,959

53474,959

53524,958

53574,959

53624,959

53675,959

53725,959

53775,959

53825,958

53875,959

53925,959

53975,959

54025,959

54075,959

54125,959

54175,958

54225,958

54275,959

54325,958

54375,958

54425,959

54475,959

54525,959

54575,958

54625,959

54675,959

54725,958

54775,959

54825,959

54875,958

54925,958

54975,958

55025,958

55075,958

55126,958

55176,958

55226,958

55276,958

55326,958

55376,959

55426,958

55476,958

55526,959

55576,958

55626,958

55676,958

55726,959

55776,959

55826,958

55876,958

55926,959

55976,958

56026,958

56076,959

56126,958

56176,958

56226,958

56276,958

56326,958

56376,959

56426,959

56476,959

56526,959

56576,959

56626,959

56676,959

56726,959

56776,959

56826,959

56876,959

56926,959

56976,958

57026,958

57076,958

57126,958

57176,959

57226,958

57276,958

57326,959

57376,959

57426,958

57476,958

57526,958

57576,958

57626,958

57676,958

57726,959

57776,958

57826,958

57876,958

57926,958

57976,957

58027,958

58077,958

58127,958

58177,957

58227,958

58277,957

58327,957

58377,957

58427,958

58477,957

58527,957

58577,957

58627,957

58677,957

58727,957

58777,957

58827,957

58877,957

58927,957

58977,957

59027,957

59077,957

59127,957

59177,957

59227,957

59277,957

59327,957

59377,957

59427,957

59478,957

59528,958

59578,957

59628,957

59678,958

59728,957

59778,957

59828,958

59878,958

59928,957

59978,958

60028,958

60078,958

60128,958

60178,958

60228,958

60278,958

60328,958

60378,958

60428,958

60478,958

60528,958

60578,958

60628,958

60678,958

60728,958

60778,958

60828,958

60878,958

60928,958

60978,958

61028,958

61078,958

61128,958

61178,959

61228,958

61278,958

61328,958

61378,958

61428,958

61478,958

61528,958

61578,958

61628,958

61678,958

61728,958

61778,958

61828,958

61878,958

61928,958

61978,958

62028,958

62078,958

62128,958

62178,958

62228,958

62278,958

62328,958

62379,958

62429,958

62479,958

62529,958

62579,958

62629,958

62679,958

62729,958

62779,958

62829,958

62879,958

62929,958

62979,958

63029,958

63079,958

63129,958

63179,958

63229,958

63279,958

63329,958

63379,958

63429,958

63479,958

63529,958

63579,958

63629,958

63679,958

63729,958

63779,959

63830,958

63880,958

63930,959

63980,958

64030,958

64080,959

64130,958

64180,958

64230,958

64280,958

64330,957

64380,958

64430,958

64480,958

64530,958

64580,958

64630,958

64680,958

64730,957

64780,958

64830,958

64880,958

64930,958

64980,958

65030,957

65080,958

65130,957

65180,958

65230,957

65280,957

65330,958

65380,958

65430,958

65480,958

65530,958

65580,958

65630,958

65680,958

65730,959

65780,958

65830,958

65880,959

65930,958

65980,959

66030,959

66080,958

66130,958

66180,959

66230,958

66280,959

66330,959

66380,958

66430,959

66480,958

66530,958

66580,958

66630,959

66680,958

66731,958

66781,958

66831,959

66881,958

66931,958

66981,959

67031,958

67081,958

67131,958

67181,958

67231,958

67281,958

67331,958

67381,959

67431,958

67481,958

67531,958

67581,958

67631,958

67681,958

67731,958

67781,958

67831,958

67881,958

67931,959

67981,958

68031,957

68081,958

68131,958

68182,957

68232,958

68282,958

68332,957

68382,958

68432,957

68482,958

68532,957

68582,957

68632,958

68682,958

68732,957

68782,958

68832,957

68882,957

68932,958

68982,957

69032,957

69082,957

69132,957

69182,958

69232,957

69282,957

69332,958

69382,957

69432,957

69482,957

69532,957

69582,958

69632,957

69682,957

69732,957

69782,957

69832,957

69882,957

69932,957

69982,957

70032,957

70082,957

70132,957

70182,957

70232,957

70282,957

70332,957

70382,957

70432,958

70482,957

70532,957

70582,957

70632,957

70682,957

70732,957

70782,957

70832,958

70882,957

70932,957

70982,958

71032,957

71083,957

71133,957

71183,957

71233,957

71283,957

71333,957

71383,957

71433,957

71483,957

71533,958

71583,957

71633,957

71683,957

71733,957

71783,957

71833,957

71883,957

71933,958

71983,958

72033,957

72083,958

72133,958

72183,958

72233,958

72283,958

72333,958

72383,958

72433,958

72483,959

72534,958

72584,958

72634,958

72684,958

72734,958

72784,958

72834,958

72884,957

72934,958

72984,958

73034,959

73084,958

73134,958

73184,958

73234,958

73284,958

73334,958

73384,958

73434,958

73484,958

73534,958

73584,958

73634,958

73684,958

73734,958

73784,958

73834,958

73884,958

73934,958

73984,958

74034,958

74084,958

74134,958

74184,958

74234,958

74284,958

74334,958

74384,958

74434,958

74484,958

74534,958

74584,958

74634,958

74684,958

74734,958

74784,958

74834,958

74884,958

74934,958

74984,958

75034,958

75084,958

75134,958

75184,958

75234,958

75284,958

75334,958

75384,958

75435,958

75485,958

75535,958

75585,958

75635,958

75685,958

75735,958

75785,958

75835,958

75885,958

75935,958

75985,958

76035,958

76085,958

76135,958

76185,958

76235,958

76285,958

76335,958

76385,958

76435,958

76485,958

76535,958

76585,958

76635,958

76685,958

76735,958

76785,958

76835,958

76886,959

76936,958

76986,959

77036,958

77086,958

77136,959

77186,958

77236,958

77286,958

